Player,School,POS,REC,YDS,AVG,LNG,TD
Phillippe Wesley II,SDSU,['WR'],['4'],['47'],['11.8'],['17'],['0']
Kevin Green Jr.,ARIZ,['WR'],['5'],['47'],['9.4'],['20'],['0']
Camari Williams,NAVY,['WR'],['7'],['47'],['6.7'],['12'],['1']
Stevo Klotz,ISU,['TE'],['5'],['47'],['9.4'],['24'],['1']
Trent Walker,ORST,['WR'],['2'],['47'],['23.5'],['24'],['0']
JR Wilson,UVA,['WR'],['3'],['47'],['15.7'],['32'],['0']
Mario Anderson,SC,['RB'],['8'],['47'],['5.9'],['20'],['1']
Brenden Bates,UK,['TE'],['2'],['46'],['23.0'],['30'],['0']
Trey Potts,PSU,['RB'],['2'],['46'],['23.0'],['30'],['1']
Malachai Jones,TLSA,['WR'],['2'],['46'],['23.0'],['31'],['1']
Kaylon Horton,UNT,['WR'],['5'],['46'],['9.2'],['13'],['1']
Trey Walker,IU,['TE'],['5'],['46'],['9.2'],['20'],['0']
Jake Clemons,CLT,['TE'],['8'],['46'],['5.8'],['19'],['0']
Da'Wain Lofton,VT,['WR'],['5'],['46'],['9.2'],['15'],['0']
DJ Rogers,TCU,['TE'],['3'],['46'],['15.3'],['22'],['0']
Jeremiah Hasley,DUKE,['TE'],['4'],['46'],['11.5'],['21'],['1']
Riley Williams,MIA,['TE'],['4'],['46'],['11.5'],['22'],['1']
Juju McDowell,SC,['RB'],['7'],['46'],['6.6'],['22'],['1']
Brandon Engel,AFA,['WR'],['2'],['46'],['23.0'],['28'],['0']
Tyler Harrell,MIA,['WR'],['4'],['45'],['11.3'],['14'],['0']
Dacari Collins,NCSU,['WR'],['3'],['45'],['15.0'],['23'],['1']
Deion Colzie,ND,['WR'],['3'],['45'],['15.0'],['25'],['1']
Jordan Mosley,MSST,['WR'],['3'],['45'],['15.0'],['19'],['1']
TreVeyon Henderson,OSU,['RB'],['3'],['45'],['15.0'],['27'],['0']
Omari Kelly,AUB,['WR'],['2'],['45'],['22.5'],['40'],['0']
Javious Bond,ECU,['RB'],['6'],['45'],['7.5'],['19'],['0']
Jai'Den Thomas,UNLV,['RB'],['5'],['45'],['9.0'],['19'],['0']
Shelton Zeon III,UNLV,['TE'],['5'],['44'],['8.8'],['12'],['0']
Dylan Downing,PUR,['RB'],['5'],['44'],['8.8'],['14'],['0']
Cam Davis,SDSU,['RB'],['10'],['44'],['4.4'],['16'],['0']
Zahir Abdus-Salaam,WMU,['RB'],['11'],['44'],['4.0'],['12'],['0']
Kaytron Allen,PSU,['RB'],['7'],['44'],['6.3'],['15'],['0']
Antario Brown,NIU,['RB'],['10'],['44'],['4.4'],['11'],['1']
Decorion Temple,CMU,['TE'],['4'],['44'],['11.0'],['16'],['0']
Jostein Clarke,UTEP,['WR'],['3'],['44'],['14.7'],['20'],['1']
Daba Fofana,NAVY,['FB'],['4'],['44'],['11.0'],['17'],['0']
LJ Martin,BYU,['RB'],['10'],['44'],['4.4'],['13'],['1']
Kobe Lewis,FAU,['RB'],['8'],['43'],['5.4'],['9'],['0']
Justice Ellison,WAKE,['RB'],['9'],['43'],['4.8'],['12'],['0']
Michael Allen,NCSU,['RB'],['9'],['43'],['4.8'],['19'],['0']
Kaden Saunders,PSU,['WR'],['5'],['43'],['8.6'],['17'],['1']
Kevorian Barnes,UTSA,['RB'],['11'],['43'],['3.9'],['9'],['0']
Kaleb Webb,TENN,['WR'],['5'],['43'],['8.6'],['18'],['1']
Julien Lewis,LT,['WR'],['2'],['43'],['21.5'],['37'],['0']
Tybo Rogers,WASH,['RB'],['2'],['43'],['21.5'],['47'],['0']
Alex Tecza,NAVY,['FB'],['7'],['43'],['6.1'],['14'],['0']
Adam Beale,TOL,['WR'],['3'],['42'],['14.0'],['22'],['0']
Markese Stepp,WKU,['RB'],['5'],['42'],['8.4'],['23'],['0']
Reese White,CCU,['RB'],['5'],['42'],['8.4'],['15'],['0']
Miyan Williams,OSU,['RB'],['4'],['42'],['10.5'],['27'],['0']
Devin Boddie Jr.,WYO,['WR'],['5'],['42'],['8.4'],['19'],['0']
Jalen White,GASO,['RB'],['12'],['42'],['3.5'],['8'],['1']
Billy Dozier,NIU,['WR'],['3'],['42'],['14.0'],['24'],['0']
Simeon Evans,SHSU,['QB'],['7'],['42'],['6.0'],['12'],['0']
Greyson Morgan,HAW,['TE'],['7'],['42'],['6.0'],['20'],['0']
Talik Keaton,MRSH,['WR'],['4'],['41'],['10.3'],['20'],['0']
Riley Smith,BOIS,['TE'],['5'],['41'],['8.2'],['17'],['1']
Cameron Johnson,WSU,['TE'],['4'],['41'],['10.3'],['15'],['0']
Skylar Loving-Black,SJSU,['TE'],['4'],['41'],['10.3'],['29'],['0']
Antavious Willis,USM,['RB'],['3'],['41'],['13.7'],['21'],['0']
Jaylan Knighton,SMU,['RB'],['7'],['41'],['5.9'],['19'],['0']
Brian Battie,AUB,['RB'],['6'],['41'],['6.8'],['13'],['0']
Rodney Hammond Jr.,PITT,['RB'],['6'],['41'],['6.8'],['15'],['0']
Mavin Anderson,CAL,['WR'],['2'],['41'],['20.5'],['24'],['0']
Kendall Long,SYR,['WR'],['3'],['41'],['13.7'],['25'],['1']
Camden Brown,AUB,['WR'],['3'],['41'],['13.7'],['15'],['0']
Maurice Turner,LOU,['RB'],['5'],['41'],['8.2'],['27'],['0']
Markel Johnson,ARMY,['RB'],['2'],['41'],['20.5'],['26'],['0']
Zeke Moore,FAU,['TE'],['8'],['41'],['5.1'],['9'],['1']
Kenari Wilcher,ILL,['WR'],['4'],['41'],['10.3'],['31'],['0']
Chas Nimrod,TENN,['WR'],['5'],['41'],['8.2'],['11'],['0']
Charlie Mangieri,NU,['TE'],['5'],['40'],['8.0'],['25'],['1']
Solo Vaipulu,HAW,['OL'],['4'],['40'],['10.0'],['23'],['0']
Genson Hooper Price,CCU,['WR'],['1'],['40'],['40.0'],['40'],['0']
Cadarrius Thompson,GAST,['WR'],['7'],['40'],['5.7'],['9'],['0']
Jalen Berger,MSU,['RB'],['5'],['40'],['8.0'],['11'],['0']
Chauncey Magwood,UCF,['WR'],['4'],['40'],['10.0'],['18'],['0']
Kody Epps,BYU,['WR'],['5'],['40'],['8.0'],['12'],['0']
Caleb Anderson,AKR,['WR'],['6'],['40'],['6.7'],['9'],['0']
Tychaun Chapman,UNC,['WR'],['3'],['40'],['13.3'],['33'],['0']
BJ Alexander,FAU,['WR'],['6'],['40'],['6.7'],['9'],['1']
Josh Dallas,GASO,['WR'],['4'],['40'],['10.0'],['15'],['0']
Kanye Roberts,APP,['RB'],['5'],['40'],['8.0'],['18'],['0']
Keldric Moody,LT,['RB'],['6'],['40'],['6.7'],['10'],['0']
Kadarius Calloway,ODU,['RB'],['6'],['40'],['6.7'],['13'],['1']
Tyre Shelton,LT,['RB'],['6'],['39'],['6.5'],['21'],['0']
Kiael Kelly,BALL,['QB'],['6'],['39'],['6.5'],['13'],['0']
Anthony Hankerson,COLO,['RB'],['8'],['39'],['4.9'],['11'],['0']
Chris Carpenter,UTSA,['WR'],['5'],['39'],['7.8'],['16'],['0']
Jake McConnachie,PITT,['WR'],['1'],['39'],['39.0'],['39'],['1']
Denzel Boston,WASH,['WR'],['4'],['39'],['9.8'],['12'],['0']
Kaleb Jackson,LSU,['RB'],['4'],['39'],['9.8'],['13'],['0']
Caleb Rillos,AFA,['TE'],['4'],['39'],['9.8'],['22'],['0']
Joquez Smith,TEM,['RB'],['7'],['39'],['5.6'],['15'],['1']
Tennel Bryant,ARST,['WR'],['5'],['39'],['7.8'],['20'],['0']
Zakhari Franklin,MISS,['WR'],['4'],['38'],['9.5'],['16'],['1']
Juwaun Price,SYR,['RB'],['3'],['38'],['12.7'],['21'],['0']
Casey Filkins,STAN,['RB'],['5'],['38'],['7.6'],['16'],['0']
Demie Sumo-Karngbaye,UK,['RB'],['9'],['38'],['4.2'],['18'],['0']
Joshua Cobbs,HOU,['WR'],['4'],['38'],['9.5'],['17'],['0']
Tyrell Robinson,ARMY,['RB'],['3'],['38'],['12.7'],['21'],['0']
Ron Wiggins,JVST,['RB'],['4'],['38'],['9.5'],['17'],['0']
Jeremiyah Love,ND,['RB'],['5'],['38'],['7.6'],['11'],['0']
Kyson Brown,ASU,['RB'],['5'],['38'],['7.6'],['27'],['0']
Suderian Harrison,UVA,['WR'],['5'],['38'],['7.6'],['15'],['0']
Kalani Norris,MTSU,['WR'],['8'],['37'],['4.6'],['18'],['1']
Andre Dollar,WSU,['TE'],['2'],['37'],['18.5'],['20'],['0']
Damari Alston,AUB,['RB'],['5'],['37'],['7.4'],['11'],['0']
Christian Lee,UNT,['TE'],['2'],['37'],['18.5'],['34'],['0']
Antwane Wells Jr.,SC,['WR'],['3'],['37'],['12.3'],['17'],['1']
Abu Sama III,ISU,['RB'],['5'],['37'],['7.4'],['21'],['0']
Pearse Migl,UL,['TE'],['3'],['36'],['12.0'],['24'],['0']
Peny Boone,TOL,['RB'],['4'],['36'],['9.0'],['11'],['1']
Doug Emilien,KU,['WR'],['4'],['36'],['9.0'],['15'],['0']
Ethan Hall,TLSA,['TE'],['6'],['36'],['6.0'],['21'],['0']
Winston Wright Jr.,FSU,['WR'],['4'],['36'],['9.0'],['18'],['0']
Andre Johnson,ASU,['WR'],['4'],['36'],['9.0'],['20'],['0']
Max Balthazar,CCU,['RB'],['7'],['36'],['5.1'],['12'],['0']
Isaiah Johnson,UNT,['RB'],['9'],['36'],['4.0'],['15'],['0']
Josh Meredith,WSU,['WR'],['2'],['36'],['18.0'],['21'],['1']
Jordan Bly,ODU,['WR'],['9'],['36'],['4.0'],['19'],['1']
Malachi Holt-Bennett,UAB,['WR'],['3'],['36'],['12.0'],['20'],['0']
Reggie Love III,ILL,['RB'],['6'],['36'],['6.0'],['11'],['0']
Ray Ray Joseph,MIA,['WR'],['6'],['36'],['6.0'],['19'],['0']
Vann Schield,CSU,['RB'],['6'],['36'],['6.0'],['12'],['0']
Quinton Jackson,RICE,['RB'],['5'],['36'],['7.2'],['9'],['0']
Malachi Thomas,VT,['RB'],['4'],['35'],['8.8'],['21'],['0']
Austin Henderson,LIB,['TE'],['5'],['35'],['7.0'],['16'],['1']
Josh Kattus,UK,['TE'],['4'],['35'],['8.8'],['18'],['2']
Demond Claiborne,WAKE,['RB'],['3'],['35'],['11.7'],['22'],['0']
Hayden Hansen,FLA,['TE'],['4'],['35'],['8.8'],['16'],['1']
Zachary Card,ORST,['WR'],['5'],['35'],['7.0'],['14'],['0']
Prince Strachan,BOIS,['WR'],['2'],['35'],['17.5'],['26'],['0']
Karter Johnson,PITT,['TE'],['3'],['34'],['11.3'],['23'],['1']
Chip Trayanum,OSU,['RB'],['5'],['34'],['6.8'],['19'],['0']
Keyshawn Woodyard,USA,['WR'],['2'],['34'],['17.0'],['21'],['0']
Tyson Riley,ARMY,['RB'],['4'],['34'],['8.5'],['22'],['2']
Shomari Lawrence,FIU,['RB'],['6'],['34'],['5.7'],['17'],['0']
Ron Tiavaasue,NMSU,['TE'],['2'],['34'],['17.0'],['28'],['0']
Reggie Virgil,M-OH,['WR'],['1'],['34'],['34.0'],['34'],['1']
Dane Pardridge,NIU,['WR'],['4'],['34'],['8.5'],['14'],['0']
Kaden Feagin,ILL,['RB'],['5'],['34'],['6.8'],['10'],['0']
Cayden Lee,MISS,['WR'],['1'],['34'],['34.0'],['34'],['1']
Matt Byrnes,HOU,['TE'],['4'],['34'],['8.5'],['18'],['0']
Dawson Menegatti,CSU,['WR'],['3'],['34'],['11.3'],['17'],['0']
Davon Booth,USU,['RB'],['9'],['34'],['3.8'],['9'],['0']
British Brooks,UNC,['RB'],['8'],['33'],['4.1'],['12'],['0']
Zion Carter,BUFF,['TE'],['4'],['33'],['8.3'],['15'],['0']
LV Bunkley-Shelton,OU,['WR'],['3'],['33'],['11.0'],['16'],['0']
Darrius Clemons,MICH,['WR'],['3'],['33'],['11.0'],['19'],['0']
Peter Kikwata,GAST,['WR'],['3'],['33'],['11.0'],['21'],['0']
Shaadie Clayton-Johnson,TULN,['RB'],['3'],['33'],['11.0'],['21'],['0']
Jaylon Glover,UTAH,['RB'],['3'],['33'],['11.0'],['17'],['0']
Jordan McDonald,UCF,['RB'],['1'],['33'],['33.0'],['33'],['0']
Kendrick Raphael,NCSU,['RB'],['4'],['33'],['8.3'],['14'],['0']
Carson Hansen,ISU,['RB'],['4'],['33'],['8.3'],['16'],['0']
Isaiah Sategna,ARK,['WR'],['8'],['33'],['4.1'],['14'],['1']
Jamoni Jones,NMSU,['RB'],['3'],['33'],['11.0'],['17'],['0']
Asa Martin,TROY,['RB'],['4'],['32'],['8.0'],['20'],['0']
Matt Alaimo,CCU,['TE'],['6'],['32'],['5.3'],['12'],['0']
Chris Scott,CIN,['WR'],['1'],['32'],['32.0'],['32'],['0']
Matt Sykes,RICE,['WR'],['1'],['32'],['32.0'],['32'],['0']
Will Swanson,KSU,['TE'],['3'],['32'],['10.7'],['17'],['1']
Marshall Lang,NU,['TE'],['4'],['32'],['8.0'],['15'],['0']
Kobe Johnson,CSU,['RB'],['4'],['32'],['8.0'],['13'],['0']
Rayshon Luke,ARIZ,['RB'],['2'],['32'],['16.0'],['17'],['0']
Michael Hetzel,APP,['WR'],['3'],['32'],['10.7'],['22'],['0']
Calvin Johnson II,NU,['WR'],['4'],['32'],['8.0'],['11'],['0']
John Lee Eldridge III,AFA,['RB'],['3'],['32'],['10.7'],['17'],['1']
Fredrick Moore,MICH,['WR'],['4'],['32'],['8.0'],['10'],['0']
Jaylen Anderson,WVU,['RB'],['4'],['32'],['8.0'],['10'],['0']
Parker Jenkins,HOU,['RB'],['8'],['32'],['4.0'],['12'],['0']
Micah Riley,AUB,['TE'],['1'],['32'],['32.0'],['32'],['1']
Cody Howard,NAVY,['WR'],['1'],['32'],['32.0'],['32'],['0']
Yamir Knight,JMU,['WR'],['4'],['32'],['8.0'],['11'],['0']
Vince Brown II,CSU,['TE'],['4'],['32'],['8.0'],['11'],['0']
Hunter Smith,ULM,['RB'],['3'],['31'],['10.3'],['19'],['0']
Bryce Williams,MINN,['RB'],['4'],['31'],['7.8'],['15'],['0']
Oscar Adaway III,UNT,['RB'],['5'],['31'],['6.2'],['11'],['0']
Billy Lucas,LIB,['RB'],['2'],['31'],['15.5'],['16'],['0']
Ja'Quavion Fraziars,FLA,['WR'],['3'],['31'],['10.3'],['13'],['0']
Payton Mangrum,SC,['WR'],['2'],['31'],['15.5'],['19'],['0']
Nehemiah Martinez I,TTU,['WR'],['1'],['31'],['31.0'],['31'],['0']
Xzavior Kautai,UNT,['TE'],['5'],['31'],['6.2'],['12'],['1']
DeAndre Buchannon,GASO,['WR'],['4'],['31'],['7.8'],['10'],['0']
KD Dorsey,GASO,['WR'],['5'],['31'],['6.2'],['11'],['0']
Jekail Middlebrook,MTSU,['RB'],['4'],['31'],['7.8'],['21'],['0']
Marquis Montgomery,CAL,['WR'],['3'],['31'],['10.3'],['13'],['0']
Konner Fox,TXST,['TE'],['3'],['30'],['10.0'],['21'],['0']
Ja'Corey Brooks,ALA,['WR'],['3'],['30'],['10.0'],['25'],['0']
Miki Suguturaga,UTAH,['TE'],['2'],['30'],['15.0'],['17'],['0']
Josh McCray,ILL,['RB'],['6'],['30'],['5.0'],['10'],['0']
Blake Smith,OU,['TE'],['2'],['30'],['15.0'],['28'],['1']
Jabari Bates,SJSU,['RB'],['8'],['30'],['3.8'],['12'],['0']
Gavin Sawchuk,OU,['RB'],['6'],['30'],['5.0'],['9'],['0']
Jayden York,TTU,['TE'],['3'],['30'],['10.0'],['19'],['1']
Rashid Williams,WASH,['WR'],['2'],['30'],['15.0'],['18'],['0']
Addison Ostrenga,IOWA,['TE'],['3'],['30'],['10.0'],['11'],['0']
Jake Boust,FRES,['TE'],['4'],['30'],['7.5'],['12'],['1']
Chase Hendricks,OHIO,['WR'],['4'],['30'],['7.5'],['10'],['0']
Kade Zimmerman,UNM,['WR'],['1'],['30'],['30.0'],['30'],['0']
Rahsul Faison,USU,['RB'],['6'],['30'],['5.0'],['26'],['0']
Donovan Faupel,NMSU,['WR'],['2'],['30'],['15.0'],['15'],['0']
Thomas Pannunzio,CMU,['WR'],['6'],['29'],['4.8'],['6'],['0']
Messiah Swinson,ASU,['TE'],['4'],['29'],['7.3'],['18'],['0']
Deshaun Fenwick,ORST,['RB'],['5'],['29'],['5.8'],['9'],['0']
Jadon Thompson,LOU,['WR'],['4'],['29'],['7.3'],['15'],['0']
Bralon Brown,MISS,['WR'],['1'],['29'],['29.0'],['29'],['0']
Keilan Robinson,TEX,['RB'],['5'],['29'],['5.8'],['16'],['0']
Samuel Brown V,RUTG,['RB'],['2'],['29'],['14.5'],['27'],['0']
E.J. Williams Jr.,IU,['WR'],['2'],['29'],['14.5'],['19'],['0']
Jackson Sumlin,FAU,['TE'],['4'],['29'],['7.3'],['11'],['0']
Makhi Hughes,TULN,['RB'],['5'],['29'],['5.8'],['7'],['0']
Wyatt Sullivan,FAU,['TE'],['5'],['29'],['5.8'],['12'],['0']
Pearce Spurlin III,UGA,['TE'],['2'],['29'],['14.5'],['25'],['0']
Josh Sapp,CLEM,['TE'],['2'],['29'],['14.5'],['25'],['1']
Ayden Greene,VT,['WR'],['3'],['29'],['9.7'],['12'],['0']
Cam McCormick,MIA,['TE'],['2'],['28'],['14.0'],['20'],['0']
Isaiah Woullard,ULM,['RB'],['7'],['28'],['4.0'],['19'],['1']
Shadrick Byrd,CLT,['RB'],['7'],['28'],['4.0'],['19'],['0']
Chris Long,RUTG,['WR'],['2'],['28'],['14.0'],['19'],['0']
Jabari Small,TENN,['RB'],['5'],['28'],['5.6'],['14'],['0']
Levi Gazarek,BGSU,['TE'],['5'],['28'],['5.6'],['15'],['0']
Calvin Hill,TXST,['RB'],['4'],['28'],['7.0'],['8'],['0']
Alex Brown,WYO,['WR'],['3'],['28'],['9.3'],['12'],['0']
Jake Orlando,BUFF,['TE'],['4'],['28'],['7.0'],['13'],['0']
Rahjai Harris,ECU,['RB'],['5'],['28'],['5.6'],['11'],['1']
Tucker Holloway,VT,['WR'],['3'],['28'],['9.3'],['15'],['0']
Ja'Kobi Lane,USC,['WR'],['3'],['28'],['9.3'],['12'],['0']
Jordan McCants,JVST,['WR'],['1'],['28'],['28.0'],['28'],['0']
Cole Turner,CLEM,['WR'],['3'],['28'],['9.3'],['11'],['0']
L.T. Sanders,WKU,['RB'],['5'],['28'],['5.6'],['17'],['0']
Tyrone Tracy Jr.,PUR,['RB'],['9'],['27'],['3.0'],['8'],['0']
Ian Stewart,TEM,['WR'],['2'],['27'],['13.5'],['16'],['0']
Terion Stewart,BGSU,['RB'],['1'],['27'],['27.0'],['27'],['0']
Jay Rudolph,SDSU,['TE'],['4'],['27'],['6.8'],['14'],['0']
K'Wan Powell,USF,['RB'],['5'],['27'],['5.4'],['12'],['0']
Allan Houston,LOU,['WR'],['3'],['27'],['9.0'],['17'],['0']
Elijah Spencer,MINN,['WR'],['3'],['27'],['9.0'],['10'],['0']
Var'Keyes Gumms,ARK,['TE'],['2'],['27'],['13.5'],['25'],['0']
Cam'Ron Valdez,TTU,['RB'],['3'],['27'],['9.0'],['15'],['0']
Trent Battle,TCU,['RB'],['3'],['27'],['9.0'],['12'],['0']
Mason Fakahua,BYU,['TE'],['6'],['27'],['4.5'],['11'],['0']
Shaleak Knotts,MD,['WR'],['3'],['27'],['9.0'],['16'],['0']
Johnny Richardson,UCF,['RB'],['7'],['27'],['3.9'],['8'],['0']
Andreas Paaske,EMU,['TE'],['2'],['27'],['13.5'],['21'],['0']
Rico Walker,MD,['TE'],['4'],['27'],['6.8'],['16'],['0']
Robby Washington,MIA,['WR'],['2'],['27'],['13.5'],['18'],['0']
