Player,School,POS,ATT,YDS,AVG,LNG,TD
Donovan Smith,HOU,['QB'],['73'],['184'],['2.5'],['22'],['4']
Blake Horvath,NAVY,['QB'],['37'],['183'],['4.9'],['29'],['0']
Brian Battie,AUB,['RB'],['40'],['182'],['4.6'],['24'],['0']
Jacqez Barksdale,BUFF,['RB'],['30'],['182'],['6.1'],['39'],['1']
Chevan Cordeiro,SJSU,['QB'],['58'],['181'],['3.1'],['28'],['3']
Devin Roche,ODU,['RB'],['30'],['181'],['6.0'],['37'],['0']
Dylan McDuffie,KU,['RB'],['33'],['180'],['5.5'],['36'],['3']
Robby Ashford,AUB,['QB'],['40'],['180'],['4.5'],['18'],['5']
Jordan Travis,FSU,['QB'],['50'],['176'],['3.5'],['20'],['5']
Michael Wiley,ARIZ,['RB'],['40'],['176'],['4.4'],['17'],['1']
Collin Schlee,UCLA,['QB'],['11'],['175'],['15.9'],['57'],['2']
E.J. Smith,STAN,['RB'],['35'],['174'],['5.0'],['34'],['1']
Zach Evans,MINN,['RB'],['37'],['174'],['4.7'],['18'],['1']
Ja'shon Benjamin,RUTG,['RB'],['43'],['174'],['4.0'],['26'],['1']
Trey Sanders,TCU,['RB'],['46'],['173'],['3.8'],['18'],['4']
Nakia Watson,WSU,['RB'],['59'],['173'],['2.9'],['17'],['4']
Ethan Payne,MRSH,['RB'],['44'],['172'],['3.9'],['22'],['0']
Juma Otoviano,RICE,['RB'],['47'],['171'],['3.6'],['24'],['2']
Delbert Mimms III,NCSU,['RB'],['51'],['171'],['3.4'],['18'],['6']
Tai Lavatai,NAVY,['QB'],['56'],['171'],['3.1'],['20'],['2']
Frank Peasant,MTSU,['RB'],['48'],['171'],['3.6'],['25'],['2']
Courtney Reese,UNLV,['RB'],['39'],['170'],['4.4'],['32'],['3']
John Gentry,SHSU,['RB'],['60'],['170'],['2.8'],['12'],['0']
Jamoni Jones,NMSU,['RB'],['42'],['170'],['4.0'],['24'],['2']
Rocko Griffin,UTSA,['RB'],['41'],['169'],['4.1'],['20'],['2']
J.J. McCarthy,MICH,['QB'],['33'],['168'],['5.1'],['22'],['3']
Nicholas Vattiato,MTSU,['QB'],['88'],['167'],['1.9'],['30'],['2']
Michel Dukes,USF,['RB'],['38'],['166'],['4.4'],['23'],['2']
Malik Hornsby,TXST,['QB'],['17'],['166'],['9.8'],['31'],['4']
